[OKAY] Loaded ENV .env File as KEY=VALUE Format
23:05:09 web.1   |  Geting dropbox data
23:05:10 web.1   |  Listening on 5000
23:05:12 web.1   |  Starting to listen for messages
23:05:17 web.1   |  x^2  \zeta
23:05:17 web.1   |  x^2  \yogh
23:05:17 web.1   |  x^2  \yen
23:05:17 web.1   |  x^2  \xrat
23:05:17 web.1   |  x^2  \xor
23:05:17 web.1   |  x^2  \xi
23:05:17 web.1   |  x^2  \wr
23:05:17 web.1   |  x^2  \wp
23:05:17 web.1   |  x^2  \wideutilde
23:05:17 web.1   |  x^2  \widebridgeabove
23:05:17 web.1   |  x^2  \wideangleup
23:05:17 web.1   |  x^2  \wideangledown
23:05:17 web.1   |  x^2  \whtvertoval
23:05:17 web.1   |  x^2  \whthorzoval
23:05:17 web.1   |  x^2  \whitepointerright
23:05:17 web.1   |  x^2  \whitepointerleft
23:05:17 web.1   |  x^2  \whiteinwhitetriangle
23:05:17 web.1   |  x^2  \whitearrowupfrombar
23:05:17 web.1   |  x^2  \wedgeq
23:05:17 web.1   |  x^2  \wedgeonwedge
23:05:17 web.1   |  x^2  \wedgeodot
23:05:17 web.1   |  x^2  \wedgemidvert
23:05:17 web.1   |  x^2  \wedgedoublebar
23:05:17 web.1   |  x^2  \wedgedot
23:05:17 web.1   |  x^2  \wedge
23:05:17 web.1   |  x^2  \vysmwhtsquare
23:05:17 web.1   |  x^2  \vysmblksquare
23:05:17 web.1   |  x^2  \vysmblkcircle
23:05:17 web.1   |  x^2  \vrecto
23:05:17 web.1   |  x^2  \vrectangleblack
23:05:17 web.1   |  x^2  \visiblespace
23:05:17 web.1   |  x^2  \virgo
23:05:17 web.1   |  x^2  \viewdata
23:05:17 web.1   |  x^2  \verymuchless
23:05:17 web.1   |  x^2  \verts
23:05:17 web.1   |  x^2  \vertoverlay
23:05:17 web.1   |  x^2  \verti
23:05:17 web.1   |  x^2  \venus
23:05:17 web.1   |  x^2  \veeodot
23:05:17 web.1   |  x^2  \veemidvert
23:05:17 web.1   |  x^2  \veeeq
23:05:17 web.1   |  x^2  \veedoublebar
23:05:17 web.1   |  x^2  \veebar
23:05:17 web.1   |  x^2  \vee
23:05:17 web.1   |  x^2  \vec
23:05:17 web.1   |  x^2  \vdots
